image,R_z_mean,R_z_std,R_z_skew,R_z_kurtosis,G_z_mean,G_z_std,G_z_skew,G_z_kurtosis,B_z_mean,B_z_std,B_z_skew,B_z_kurtosis
069,0.15787336804960195,1.2542040583543828,0.036142616014700896,1.1872346615024183,0.2134728097119263,1.2318486928013583,0.008898054267806361,1.3670650918346707,-0.17068570397546248,1.2410852559290901,0.12831686267984568,2.0075878168409425
070,-0.09190733887762623,0.9102585254533739,0.024587690011777654,0.9312192736295444,0.11963935976514652,0.9142694104475144,0.02497509403982836,1.0802674072478888,-0.11770911175138665,0.9150506775674413,0.012437619927903888,0.7241812098236524
071,-0.14685414385003134,0.8472290912416631,0.8965960483211193,10.084037861311606,0.08040618958384514,0.8585697785309073,1.0081806840206193,12.896939108813894,0.04672551335838401,0.8318436292619276,1.245422524422882,17.12577320821107
072,0.24859719090896895,1.1539539820055549,0.501619759224244,2.959731848860807,-0.2000080593406788,1.1470071480249582,0.5735225367932958,3.14455111814398,-0.13579721228566877,1.1401458837105207,0.5656840083041131,3.0443330592490048
073,0.013703057011462842,0.6201027273807035,0.9925026371064124,19.2632012536526,-0.0022458411264601103,0.634103261141058,1.2270976926408823,24.738731354255805,0.0026237230519047606,0.6169606712006681,1.189164331482689,22.414932493065695
074,-0.1776011380564804,1.2009906956685974,-0.08087141193208743,-0.3935823269768113,-0.16944059515531346,1.190443233685803,-0.06765211833869143,-0.4184244123504244,0.10997189255342989,1.1725350160119377,-0.10053821659164769,-0.4338474651728559
075,0.1781025231385828,1.1554826921162333,0.23589678474065506,0.2511078755267224,0.28125037735619157,1.163695107725764,0.29727897665390046,0.49016494979124037,-0.16825970452843986,1.1602031487780902,0.38931760030799895,0.6180547605935729
076,-0.11077270173643416,0.5929433086281547,2.8248297507760207,53.074309759448866,-0.21304524663978444,0.6114935963847532,3.226722203276007,63.89096544357784,-0.10901577678596333,0.583410814854973,4.711415265610251,104.34993945732353
077,0.17709134071632937,1.2270554482878606,0.1865096173999852,0.04779520723565778,-0.14868086612598036,1.212375548456366,0.2746742872297753,0.22322466577009337,0.2164832368622436,1.2624855079254014,0.2837693608568465,0.269935304527797
078,0.02364462370160588,0.550457239401059,1.0750098886387986,15.453580194853746,0.07922660314407433,0.5660007135070242,1.058715228472937,15.99843089751812,-0.0447276552610139,0.5609834539588535,1.4907220657121187,24.767286143376932
