image,lag,R_horizontal,G_horizontal,B_horizontal,R_vertical,G_vertical,B_vertical
018,5,0.04940620856044981,0.030088135520805803,-0.0005038213284252607,0.009595903728976281,0.033542208682623316,0.02270399896621812
018,6,0.0013327715191254548,0.04993166480483882,0.02061947236217438,-0.010538085454265211,0.035921351894746024,0.0195102283453237
018,7,0.013792700425156998,0.026897886043042177,0.044271922829126904,0.04597556513070316,0.022259832074982628,0.04305735025046673
018,8,0.033892527048383185,0.02703600953902009,0.02289254140920213,0.027360203780107416,-0.0010366823168727016,0.047782516588925905
018,9,0.008967360767713642,0.021590952649791714,0.049890172976809276,0.022350464156885616,0.05070803933399561,0.04339418249820711
018,10,0.004084302236753832,0.03682451005272287,0.020282891243847113,0.026396009605671643,0.018862999970395856,0.03464965217309908
019,1,0.01613696794279558,0.0055115488450445315,0.00816740133039467,0.035502112897772636,0.011501601198699325,0.0171738863425453
019,2,0.022769837342393663,0.01568907234357245,-0.018668186908877598,0.04693062683063446,0.034676901490988093,0.032942755898113234
019,3,0.019122079771818172,0.024175041196484195,0.031047186990768014,0.026213117695557536,0.037240178119167626,0.028939448461649298
019,4,0.0335070446183743,0.028161905093176336,0.03398557067591622,0.01552395786616143,0.025269601813278683,0.02114530696797719
019,5,0.021160028829285697,0.02209755865153251,0.02291865253360769,0.06633110487356884,0.05180941873311782,0.05607708359430672
019,6,0.0012563824927554973,0.0259819122813158,0.011159665925966535,0.0328059978561803,0.046701698945134706,0.02766439665569712
019,7,0.011511698468232846,0.004992676977837552,0.026635280061845783,0.031025064846483087,0.013210967679601848,0.032578463930167105
019,8,0.014251187109808716,0.0062669756164226926,0.013006738454989522,0.02641610710147887,0.03692333427202712,0.026285494068081148
019,9,0.018786564806623864,0.023909660915225533,0.025971021539337263,0.027496577564600593,0.04942595368007559,0.03261321254458671
019,10,0.008112014782669902,0.00833234195022845,-0.01293980116694459,0.024099770239687734,0.03675625527178136,0.008326543696331542
020,1,0.05844960019780265,0.031461255997449825,0.03853788564021752,-0.005774477045261597,0.01678086197028558,0.02847794936114404
020,2,0.038456607043821936,0.022974423832837106,0.0098751467212622,0.0008315196902534273,0.003977479595875411,0.031004549514086776
020,3,0.04513076291958245,0.03421077252626355,0.017138134519103784,-0.006140804737826628,0.031129426830904208,0.01919939273684537
020,4,0.005577437658199574,0.03590989022382628,0.026072005255587397,0.022101024207232683,0.040376379294338446,0.014712586099839598
020,5,-0.01299163787411479,0.005544607348433749,0.008098234612749772,0.0138652999609438,0.014347023466940683,0.009137728692830926
020,6,0.03869150958125152,0.014764105990410921,0.0023569253448855135,0.02147130633726516,0.019264185647245732,0.010634720906160508
020,7,0.0232770663823458,0.013506763643852492,0.012872386952596028,0.036759149586184627,0.0004204938129488783,-0.0017705381512539814
020,8,0.01721933947700519,0.03883900373118601,0.016659855177245077,0.01663772282346945,-0.001494875320234725,0.030516331657360174
020,9,0.028513562765741244,0.029494546104037764,0.03894825917649669,0.030368436609715974,0.04073962210197209,0.021762881420017536
020,10,0.02254605580649333,0.019804174592732687,0.014530039563763716,0.02187548558532782,0.0015320596896096692,0.025977529469760653
