image,R_mean,R_std,R_skew,R_kurtosis,G_mean,G_std,G_skew,G_kurtosis,B_mean,B_std,B_skew,B_kurtosis,overall_mean,overall_std,psnr,ssim
244,-0.24276571,7.974435,6.4596457,157.67384,2.020839,7.6692195,6.385059,156.36176,1.1061699,7.7343984,10.649675,302.7089,0.96141446,7.8490515,30.169785219111326,0.7968449111919179
245,0.7342754,30.902603,0.1570578,1.5559616,9.899474,30.70806,0.19126429,1.4050078,9.271902,30.02181,0.22418964,1.6283798,6.6352177,30.831224,18.154360246631217,0.5703903899822182
246,3.4122527,24.73618,0.21835485,2.1805077,4.806496,24.924538,0.21353199,1.9593086,-1.7488436,23.287218,0.27509597,3.255879,2.156635,24.48984,20.31753516460459,0.4903666938530167
247,1.7183343,16.945992,0.6274519,7.2094545,1.6517239,16.98078,0.5838771,6.577154,2.372184,16.51168,0.7355925,8.620083,1.9140807,16.817314,23.55977314191413,0.7284010367637636
248,-5.998057,21.52159,0.0111722965,2.4030085,-5.332762,20.704298,-0.04775208,2.7694783,-1.6753442,20.799366,0.03425448,3.4647417,-4.3353877,21.097357,21.466615447918084,0.6317938073241709
249,-1.6240214,31.479506,-0.023354147,0.13998246,-1.8003534,30.51811,0.06382256,0.21955204,-1.7158304,30.811655,0.10463969,0.27757597,-1.7134018,30.939121,18.30734455662894,0.11227100487792367
250,-0.27558675,22.814209,0.34358853,4.829428,-2.0911932,22.350298,0.2528548,5.401308,5.912839,22.659678,0.500525,4.258175,1.1820197,22.867039,20.935016935531433,0.3320532441740338
251,4.403869,31.251204,0.07448087,0.28652382,-1.6294774,30.131329,0.12379313,0.44105673,4.564134,30.436687,0.12709,0.4148209,2.4461753,30.745493,18.347769824690396,0.6661163291640783
252,1.7026026,23.622952,-0.0046320725,0.8661392,-6.828326,23.277987,-0.038872804,0.8837819,-5.715242,22.85482,0.039092254,1.4391184,-3.613655,23.56031,20.58619852853104,0.685290291417083
253,-2.355359,31.543957,0.12740788,0.824075,-2.2522528,29.188896,0.17979798,1.1881375,8.184538,30.256395,0.20824298,1.0285306,1.1923087,30.745213,18.368726981064313,0.26991704500689684
254,5.150721,19.88348,0.47493216,4.116969,4.3151197,17.74549,0.7618704,8.213078,5.181539,17.653381,0.8478832,10.045229,4.88246,18.46059,22.512257549373636,0.3580246795832287
255,-2.429099,24.788517,-0.0551636,1.308384,-3.4278867,23.75356,-0.040169217,1.6542974,3.3041925,24.159267,-0.030537624,1.5022082,-0.8509311,24.418358,20.371203239571717,0.38691915275163535
256,6.117905,34.402473,0.03743969,0.7336662,6.0210657,32.1111,0.023789201,1.0245643,4.7492766,31.740791,-0.017025681,1.4987383,5.6294155,32.778534,17.692770435593413,0.41925467931753174
257,7.2358303,35.935703,0.029503822,0.101116896,6.701425,34.313816,0.046673693,0.20571804,6.9876847,33.962162,0.097647235,0.33584,6.97498,34.748547,17.140520740028997,0.2538058601350426
258,-1.4610239,28.34328,-0.08909625,2.273375,-1.5276506,28.472183,-0.054233372,2.1088414,0.67391753,27.212091,-0.06931171,2.9240742,-0.77158564,28.03356,19.173950355446518,0.510717819572538
259,-6.820522,36.326862,0.040805545,0.57672596,3.802468,35.000957,0.032059245,0.6009562,-6.542445,34.87632,0.052676454,0.8038585,-3.1868331,35.750896,17.03069226674757,0.4363500660161837
260,4.3642173,39.68984,-0.08414014,0.23946667,-7.2003803,38.95761,-0.06621846,0.24742365,3.4764283,39.335323,-0.08581378,0.28369474,0.21342176,39.678238,16.1596308312802,0.4326962393505724
261,-2.325995,23.823885,0.2667232,1.3687243,-1.0362833,22.066853,0.35586786,2.3135967,-0.8380014,22.06445,0.37360126,2.7378902,-1.4000932,22.676487,21.00276430132044,0.228139844346631
262,6.6426086,30.287361,-0.04625559,1.2395954,8.470196,29.16452,-0.05386394,1.3850393,9.065822,29.99775,-0.001787331,1.2712102,8.059543,29.83816,18.329532879463,0.5468170034129518
