image,noisy_psnr,denoised_psnr,delta_psnr,noisy_ssim,denoised_ssim,delta_ssim,runtime_seconds,severity,severity_group
113,23.568783885214188,29.15393785686896,5.585153971654769,0.6004706801561394,0.8511817640817956,0.2507110839256562,0.1750366999913239,0.5879714616850055,Low
114,25.66129864605054,27.08851606353576,1.4272174174852204,0.8967270182450068,0.9257450180822556,0.0290179998372489,0.1729094000038458,0.4480927823173178,Low
115,23.140789923181124,27.92948475515718,4.788694831976056,0.5140782915238052,0.7795621042457817,0.2654838127219764,0.1703813000058289,0.8397226390195973,Medium
116,18.346025972289304,25.87495582926244,7.528929856973136,0.3483091652812544,0.7560279796928389,0.4077188144115844,0.172077299997909,0.9589157483049264,Medium
117,19.50399504177061,23.30317601856055,3.799180976789934,0.4392158654404581,0.6527573011662977,0.2135414357258395,0.1754641000006813,1.1042246393635586,High
118,19.536843653243952,25.66040750335496,6.123563850111005,0.455246759466444,0.7729905350973362,0.3177437756308922,0.1736730000120587,0.9073223691832908,Medium
119,21.956013509330408,25.480141031838453,3.5241275225080457,0.6082691587271606,0.7644742573468642,0.1562050986197036,0.1692164999985834,0.8422912535189447,Medium
120,16.878014312716857,20.99158895093838,4.113574638221522,0.5834157886766628,0.7297591184721112,0.1463433297954484,0.1709052000078372,1.2011294021736103,High
121,18.020104697232973,24.717121255856394,6.697016558623421,0.2894650728876386,0.5713752943387299,0.2819102214510913,0.1725450000085402,1.1315356591123398,High
122,22.24125779727424,25.72935922395217,3.4881014266779324,0.6791506176598879,0.8271667468218098,0.1480161291619218,0.173666000002413,0.8116265328240008,Medium
123,19.444966411954177,25.92327824659293,6.4783118346387525,0.456947589020654,0.7935194346931075,0.3365718456724534,0.168640999996569,0.9063955814791226,Medium
124,20.181261743510333,28.61229076581221,8.431029022301878,0.2856994038743612,0.7371750977317246,0.4514756938573633,0.172841799998423,0.8971942404597181,Medium
125,19.822495630403097,23.49294089685789,3.670445266454792,0.5696948032001753,0.7808804244745788,0.2111856212744035,0.1740441000001737,0.8370610606984351,Medium
126,20.43466670687738,28.49178620414588,8.057119497268499,0.1969674272522215,0.6917090025378211,0.4947415752855995,0.1733053000061772,0.9062449252178524,Medium
127,20.133479815469425,24.346349327207072,4.212869511737647,0.3789912685365358,0.6531885410953656,0.2741972725588298,0.1781378000014228,1.1481022440686903,High
128,16.770172974315894,22.584649605723712,5.814476631407818,0.3443906164820783,0.5497030644717388,0.2053124479896604,0.1731007999915164,1.1796017164127373,High
129,17.11344990287847,25.61914149938716,8.50569159650869,0.0905533657745137,0.4958066056778671,0.4052532399033534,0.1737254999898141,1.1222877509151068,High
130,18.20371752129764,27.713195774044216,9.509478252746575,0.1057606641907706,0.5923675541886332,0.4866068899978625,0.1745018999936292,1.1660159907398493,High
131,17.75379940977156,22.819590576238657,5.065791166467097,0.4185919647410005,0.6727950427786697,0.2542030780376692,0.1768390000070212,1.114557572049773,High
132,17.791842974179122,24.09991023301607,6.3080672588369495,0.3551447877180738,0.681262074921562,0.3261172872034882,0.1858682000020053,1.076534754606134,High
133,21.777941295099875,28.10669499433676,6.328753699236884,0.3046098069309164,0.690359371519763,0.3857495645888466,0.1743214000016451,0.8848567890099763,Medium
134,17.10687106976317,22.750743435041013,5.643872365277844,0.4029387762703242,0.6658190278903393,0.2628802516200151,0.1724650999967707,1.1669377095736295,High
135,16.783250326800612,22.63666302196958,5.853412695168967,0.5824606216067867,0.8242855211748998,0.2418248995681131,0.1696508000022731,1.1530823102398569,High
136,20.20167075826877,24.45789765640861,4.25622689813984,0.6672039162451933,0.8436591232251018,0.1764552069799085,0.1716372999944724,0.9100505635580984,Medium
137,15.677097997594224,22.80395080359368,7.126852805999455,0.286802279236682,0.6149544754752938,0.3281521962386118,0.1703084999899147,1.228814996328909,High
